Augsburg;54.0;-65.0
Bielefeld;0.0;71.0
Bochum;-31.0;53.0
Bremen;8.0;111.0
Darmstadt;1.0;-9.0
Essen;-36.0;52.0
Freiburg;-22.0;-76.0
Giessen;0.0;20.0
Hamburg;34.0;129.0
Hannover;28.0;84.0
Heilbronn;12.0;-38.0
Kaiserslautern;-21.0;-26.0
Karlsruhe;-6.0;-41.0
Kassel;21.0;45.0
Kempten;38.0;-90.0
Koblenz;-24.0;10.0
Koeln;-38.0;35.0
Landshut;86.0;-57.0
Lichtenfels;58.0;-1.0
Mainz;-9.0;-3.0
Muenchen;70.0;-74.0
Muenster;-20.0;70.0
Neuss;-43.0;44.0
Nuernburg;59.0;-26.0
Oldenburg;-5.0;114.0
Regensburg;83.0;-41.0
Rendsburg;27.0;153.0
Stuttgart;12.0;-49.0
Ulm;30.0;-65.0
Wuerzburg;31.0;-12.0
Aachen;-57.0;28.0
Ansbach;44.0;-28.0
Aschaffenburg;7.0;-7.0
Bamberg;54.0;-8.0
Bayreuth;65.0;-8.0
Bonn;-35.0;25.0
Braunschweig;46.0;79.0
Bremen;5.0;118.0
Coburg;56.0;4.0
Dortmund;-21.0;54.0
Duesseldorf;-40.0;45.0
Duisburg;-43.0;51.0
Erlangen;57.0;-21.0
Frankfurt;0.0;0.0
Fulda;25.0;15.0
Fuerth;56.0;-25.0
Gelsen-Kirchen;-34.0;56.0
Gummersburg;-24.0;36.0
Hagen;-25.0;49.0
Hersbruck;64.0;-26.0
Ingolstadt;63.0;-48.0
Kiel;37.0;155.0
Mannheim;-5.0;-24.0
Marburg;2.0;28.0
Offenburg;-18.0;-58.0
Osnabrueck;-10.0;82.0
Reutlingen;12.0;-58.0
Saarbruecken;-40.0;-28.0
Siegen;-16.0;28.0
